name,number,old_price,sale_price,url
V-neck Camisole Top,55497,$39.99,$19.99,http://www.hm.com/us/product/55497?article=55497-C
Fine-knit Top,65484,$17.99,$7.99,http://www.hm.com/us/product/65484?article=65484-D
Velvet Camisole Top,66158,$24.99,$14.99,http://www.hm.com/us/product/66158?article=66158-B
Short Printed Jersey Top,69072,$14.99,$9.99,http://www.hm.com/us/product/69072?article=69072-A
Short Satin Top,47995,$34.99,$17.99,http://www.hm.com/us/product/47995?article=47995-A
Short Top,67864,$17.99,$9.99,http://www.hm.com/us/product/67864?article=67864-A
Draped Top,61712,$19.99,$9.99,http://www.hm.com/us/product/61712?article=61712-D
Long-sleeved Jersey Top,54285,$17.99,$12.99,http://www.hm.com/us/product/54285?article=54285-B
Jersey Top,64828,$14.99,$9.99,http://www.hm.com/us/product/64828?article=64828-E
Short Sweatshirt,67529,$34.99,$19.99,http://www.hm.com/us/product/67529?article=67529-C
Sleeveless Jersey Top,42288,$24.99,$12.99,http://www.hm.com/us/product/42288?article=42288-A
Cupro-blend Top,68411,$39.99,$24.99,http://www.hm.com/us/product/68411?article=68411-A
Velour Top,69616,$24.99,$14.99,http://www.hm.com/us/product/69616?article=69616-B
Uni Tee,62358,$19.99,$12.99,http://www.hm.com/us/product/62358?article=62358-B
Velour Camisole Top,68808,$17.99,$9.99,http://www.hm.com/us/product/68808?article=68808-A
Sleeveless Turtleneck Sweater,52822,$24.99,$17.99,http://www.hm.com/us/product/52822?article=52822-A
Top with Smocking,67464,$29.99,$17.99,http://www.hm.com/us/product/67464?article=67464-A
Fine-knit Glittery Top,44550,$24.99,$14.99,http://www.hm.com/us/product/44550?article=44550-B
